,longitude,latitude
0,-73.96256044991257,40.79163466930161
1,-73.9737840088486,40.78429835461403
2,-73.9737840088486,40.78429835461403
3,-73.9737840088486,40.78429835461403
4,-73.9737840088486,40.78429835461403
5,-73.92321523555376,40.65910651165323
6,-73.97630003478208,40.71568295378583
7,-73.98820001110087,40.71855580770046
8,-74.03671623240385,40.61949979976222
9,-73.94823407225736,40.63821896350877
10,-73.88085818602744,40.667167542572884
11,-73.99072724261552,40.755950548367686
12,-74.16629883764004,40.632700378695596
13,-73.93742023722204,40.804375769710255
14,-73.93540919329384,40.796003241271926
15,-73.99453544439251,40.75352443667219
16,-73.90883959583158,40.76601002264444
17,-73.9358433288311,40.84395646468933
18,-73.94133047477538,40.81857078612426
19,-73.94309906174657,40.69382300041532
20,-73.99266347549697,40.64355252086991
21,-73.99266347549697,40.64355252086991
22,-73.99266347549697,40.64355252086991
23,-73.90451320724392,40.76459023072677
24,-73.90451320724392,40.76459023072677
25,-73.9469934397963,40.61700117067366
26,-73.82750046578404,40.68575892063971
27,-73.91020880232078,40.813462037381306
28,-73.98747426235283,40.76040496083829
29,-73.98234748539552,40.77768791756736
30,-73.95090554764975,40.63608743542911
31,-73.89048785995175,40.82428389437225
32,-73.89048785995175,40.82428389437225
33,-73.88897910058247,40.6674254413417
34,-73.88897910058247,40.6674254413417
35,-73.88897910058247,40.6674254413417
36,-73.93383259342554,40.8451712342168
37,-73.9080205106053,40.68469315883137
38,-73.9775339027806,40.72587723579635
39,-73.9775339027806,40.72587723579635
40,-73.9383193083322,40.80474679222721
41,-73.99509559526388,40.645946102408274
42,-73.94478056493816,40.805760127123385
43,-73.88865605702503,40.81775519645495
44,-73.89288355294217,40.821947644300884
45,-73.93856875187873,40.698849086878354
46,-73.978822973645,40.72251789674509
47,-73.79325462008875,40.68543624488793
48,-73.9645738657388,40.794931726562645
49,-73.91847496188844,40.86611720674615
50,-73.89687933622004,40.822118714779066
51,-73.89687933622004,40.822118714779066
52,-73.96531375208893,40.79587339369175
53,-73.94793236724446,40.81708357361465
54,-73.95092167346017,40.697444206804285
55,-73.94978863790116,40.69831106461117
56,-73.86843542695888,40.86323023740098
57,-73.85867289903985,40.8654940496378
58,-73.978469576059,40.655037657047494
59,-73.92945212774225,40.68490317283254
60,-73.87169168668986,40.67455760870969
61,-73.96138907747833,40.60079065724831
62,-73.9407059531244,40.6963552138232
63,-73.94937194591171,40.77687668460268
